,Number of returns,Number of exemptions,,Adjusted Gross Income,Salaries and Wages,,Taxable Interest,,Total Tax,,Schedule C Net Profit/Loss,Schedule F Net Profit/Loss,Total Itemized Deductions
ZIP Code  & ,,Total,Dependent Exemptions,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Number of returns,Number of returns
Size of Adjusted,,,,,,,,,,,,,
Gross Income,(1),(2),(3),(4),(5),(6),(7),(8),(34),(35),(13),(15),(21)
,,,,,,,,,,,,,
"$10,000 under $25,000","4,984","10,161","3,507","83,741","4,219","66,870","1,506","1,749","3,209","3,487","1,029",0,500
"$25,000 under $50,000","4,164","9,082","3,292","149,738","3,877","133,072","1,991","2,297","3,486","9,580",582,*         ,"1,147"
"$50,000 under $75,000","1,715","4,225","1,568","104,083","1,604","90,426","1,136","1,846","1,664","9,344",290,0,870
"$75,000 under $100,000",762,"2,114",797,"65,369",706,"55,333",600,985,754,"6,678",132,0,520
"$100,000 or more     ",734,"2,112",800,"127,417",649,"76,193",652,"2,825",733,"19,905",149,0,642
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91778,557,953,258,"20,785",434,"15,258",240,455,442,"2,316",145,0,133
"Under $10,000        ",129,165,23,539,65,434,34,22,72,42,59,0,0
"$10,000 under $25,000",174,301,91,"2,917",147,"2,353",56,63,130,137,42,0,12
"$25,000 under $50,000",144,254,75,"5,115",128,"4,254",69,108,131,392,21,0,40
"$50,000 under $75,000",46,86,24,"2,839",39,"2,136",28,77,45,310,12,0,29
"$75,000 under $100,000",26,61,21,"2,231",25,"1,834",19,20,26,270,*         ,0,17
"$100,000 or more     ",38,86,24,"7,144",30,"4,247",34,165,38,"1,165",11,0,35
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91780,"15,715","33,012","10,799","736,134","12,903","563,361","8,568","18,240","12,140","78,966","3,193",0,"5,986"
"Under $10,000        ","2,886","3,925",629,"4,298","1,913","11,684",874,"1,181","1,107",555,666,0,127
"$10,000 under $25,000","3,624","6,625","2,000","62,035","2,785","44,927","1,395","2,058","2,532","2,984",757,0,577
"$25,000 under $50,000","4,016","8,296","2,806","146,424","3,502","120,181","2,133","3,365","3,429","10,006",692,0,"1,389"
"$50,000 under $75,000","2,245","5,567","2,051","138,508","2,014","112,677","1,613","2,836","2,149","12,040",415,0,"1,367"
"$75,000 under $100,000","1,308","3,626","1,375","113,114","1,185","91,794","1,076","2,078","1,288","11,186",272,0,"1,028"
"$100,000 or more     ","1,636","4,973","1,938","271,755","1,504","182,098","1,477","6,722","1,635","42,195",391,0,"1,498"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91784,"12,011","26,225","8,066","1,128,534","9,512","691,700","7,986","28,278","10,086","178,268","2,615",36,"7,222"
"Under $10,000        ","1,948","2,390",254,"-15,052","1,406","8,961",645,"1,168",766,455,301,11,120
"$10,000 under $25,000","1,814","2,753",574,"30,736","1,287","20,947",737,"1,442","1,400","1,641",318,*         ,393
"$25,000 under $50,000","1,792","3,352",923,"65,909","1,343","45,388","1,034","1,982","1,584","4,874",375,*         ,858
"$50,000 under $75,000","1,503","3,380","1,072","94,068","1,172","64,297","1,131","2,348","1,412","8,129",382,*         ,"1,158"
"$75,000 under $100,000","1,326","3,589","1,289","115,736","1,127","85,902","1,116","2,377","1,303","10,591",317,*         ,"1,176"
"$100,000 or more     ","3,628","10,761","3,954","837,137","3,177","466,205","3,323","18,961","3,621","152,578",922,25,"3,517"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91785,750,"1,336",393,"187,729",585,"24,296",340,"47,999",564,"17,251",165,0,295
"Under $10,000        ",157,186,21,134,104,490,44,50,57,81,42,0,*         
"$10,000 under $25,000",194,305,85,"3,272",148,"2,393",55,81,139,175,42,0,38
"$25,000 under $50,000",170,329,120,"6,305",149,"5,149",73,138,146,462,31,0,74
"$50,000 under $75,000",97,212,73,"5,916",84,"4,642",58,64,92,509,15,0,67
"$75,000 under $100,000",54,115,35,"4,647",43,"3,295",38,52,53,572,11,0,43
"$100,000 or more     ",78,189,59,"167,455",57,"8,327",72,"47,614",77,"15,452",24,0,73
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91786,"20,445","42,772","15,396","899,976","17,601","695,419","7,704","11,783","14,974","91,310","3,210",*         ,"7,145"
"Under $10,000        ","3,382","4,812","1,117","13,387","2,611","15,906",616,481,"1,189",595,628,*         ,134
"$10,000 under $25,000","5,578","10,547","4,038","96,004","4,685","78,022","1,154","1,511","3,520","3,713",802,0,650
"$25,000 under $50,000","5,601","12,091","4,792","201,174","5,023","172,206","1,801","1,886","4,564","12,285",727,*         ,"1,824"
"$50,000 under $75,000","2,744","6,649","2,432","167,588","2,461","139,072","1,611","1,629","2,589","13,559",445,0,"1,792"
"$75,000 under $100,000","1,520","4,134","1,474","131,045","1,379","106,556","1,135","1,629","1,494","12,378",263,0,"1,233"
"$100,000 or more     ","1,620","4,539","1,543","290,778","1,442","183,657","1,387","4,647","1,618","48,780",345,*         ,"1,512"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91788,418,808,263,"20,230",338,"16,341",216,275,336,"2,290",88,0,191
"Under $10,000        ",69,97,19,-212,35,151,20,18,30,18,27,0,0
"$10,000 under $25,000",84,128,33,"1,419",64,"1,005",28,66,66,75,23,0,19
"$25,000 under $50,000",119,225,75,"4,258",106,"3,535",60,34,100,283,14,0,52
"$50,000 under $75,000",67,138,50,"4,057",59,"3,380",44,26,61,353,13,0,48
"$75,000 under $100,000",27,61,20,"2,408",26,"2,086",20,19,27,286,11,0,23
"$100,000 or more     ",52,159,66,"8,300",48,"6,184",44,112,52,"1,275",*         ,0,49
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91789,"19,009","43,184","15,093","1,460,742","15,851","918,571","11,533","89,955","15,020","271,263","3,834",*         ,"9,677"
"Under $10,000        ","3,649","4,920",743,"-4,413","2,433","19,321","1,268","1,501","1,378",696,685,0,180
"$10,000 under $25,000","3,459","5,925","1,590","58,364","2,689","44,123","1,398","2,233","2,488","3,141",677,*         ,650
"$25,000 under $50,000","3,765","7,827","2,642","137,343","3,253","112,105","2,071","3,088","3,192","9,387",712,0,"1,686"
"$50,000 under $75,000","2,502","6,431","2,464","155,052","2,236","124,189","1,817","2,956","2,369","12,727",552,0,"1,832"
"$75,000 under $100,000","1,913","5,790","2,377","166,607","1,767","137,227","1,606","2,778","1,882","14,511",393,0,"1,707"
"$100,000 or more     ","3,721","12,291","5,277","947,789","3,473","481,606","3,373","77,399","3,711","230,801",815,*         ,"3,622"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91790,"17,814","40,051","15,453","764,806","15,427","638,810","7,671","9,367","13,237","62,757","2,789",*         ,"7,293"
"Under $10,000        ","2,879","3,993",843,"10,348","2,131","12,516",563,507,997,471,570,0,108
"$10,000 under $25,000","4,380","8,196","2,918","75,782","3,618","59,630","1,089","1,227","2,889","3,026",695,*         ,612
"$25,000 under $50,000","4,778","10,631","4,351","173,016","4,309","148,456","1,887","1,765","3,824","9,917",615,*         ,"1,864"
"$50,000 under $75,000","2,715","7,419","3,133","167,498","2,501","143,696","1,692","1,796","2,509","12,254",410,0,"1,941"
"$75,000 under $100,000","1,688","5,360","2,327","145,741","1,592","128,835","1,278","1,318","1,647","11,840",263,*         ,"1,473"
"$100,000 or more     ","1,374","4,452","1,881","192,421","1,276","145,677","1,162","2,754","1,371","25,249",236,0,"1,295"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91791,"13,672","29,838","10,668","845,993","11,282","585,144","6,986","19,303","10,530","109,094","2,409",11,"6,383"
"Under $10,000        ","2,202","2,955",515,"4,861","1,517","8,651",584,578,813,428,476,*         ,111
"$10,000 under $25,000","2,986","5,235","1,649","50,993","2,341","38,231",910,"1,319","2,002","2,171",463,11,491
"$25,000 under $50,000","3,228","6,760","2,530","118,027","2,808","96,278","1,428","2,000","2,657","7,252",449,0,"1,319"
"$50,000 under $75,000","1,927","4,845","1,929","118,938","1,666","94,554","1,253","2,276","1,782","9,150",321,0,"1,380"
"$75,000 under $100,000","1,299","3,803","1,556","112,266","1,162","90,160","1,005","1,785","1,251","9,622",237,0,"1,133"
"$100,000 or more     ","2,030","6,240","2,489","440,908","1,788","257,270","1,806","11,345","2,025","80,471",463,*         ,"1,949"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91792,"12,881","28,124","10,530","543,237","11,647","477,608","5,264","4,236","9,596","43,806","1,954",0,"5,237"
"Under $10,000        ","2,080","2,855",531,"7,331","1,612","9,215",352,240,718,319,424,0,75
"$10,000 under $25,000","3,107","5,731","2,037","53,894","2,726","45,517",691,501,"1,973","2,118",456,0,443
"$25,000 under $50,000","3,612","7,817","3,077","130,715","3,382","117,731","1,365","1,108","2,953","7,425",449,0,"1,444"
"$50,000 under $75,000","1,973","5,115","2,067","121,306","1,885","108,855","1,180",875,"1,864","9,051",254,0,"1,356"
"$75,000 under $100,000","1,156","3,558","1,521","99,632","1,125","90,833",858,469,"1,137","8,304",180,0,"1,006"
"$100,000 or more     ",953,"3,048","1,297","130,359",917,"105,457",818,"1,043",951,"16,589",191,0,913
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91793,525,"1,013",355,"22,725",445,"17,282",192,274,401,"2,417",96,0,187
"Under $10,000        ",90,126,28,390,64,327,15,10,33,22,27,0,*         
"$10,000 under $25,000",122,210,71,"2,083",95,"1,568",25,9,84,95,25,0,22
"$25,000 under $50,000",158,324,129,"5,823",146,"5,247",52,30,132,392,25,0,54
"$50,000 under $75,000",86,177,64,"5,273",78,"4,521",46,44,84,510,19,0,52
"$75,000 under $100,000",37,99,39,"3,177",37,"2,792",26,21,36,298,*         ,0,30
"$100,000 or more     ",32,77,24,"5,979",25,"2,827",28,160,32,"1,100",*         ,0,29
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91801,"23,819","46,282","14,224","961,443","20,047","762,157","11,127","20,218","17,799","103,541","4,307",*         ,"6,665"
"Under $10,000        ","4,800","6,786","1,183","14,954","3,262","21,260","1,271","1,456","1,798",974,"1,188",*         ,176
"$10,000 under $25,000","6,333","11,986","3,770","108,238","5,258","86,403","2,120","2,952","4,297","4,715","1,196",0,716
"$25,000 under $50,000","6,588","13,044","4,362","237,919","6,000","208,706","3,142","4,337","5,707","16,506",904,0,"1,757"
"$50,000 under $75,000","3,080","6,791","2,334","187,735","2,820","161,101","2,076","3,155","2,995","18,180",460,*         ,"1,571"
"$75,000 under $100,000","1,457","3,593","1,214","125,419","1,324","104,014","1,135","2,294","1,443","13,708",246,0,"1,063"
"$100,000 or more     ","1,561","4,082","1,361","287,178","1,383","180,673","1,383","6,024","1,559","49,458",313,*         ,"1,382"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91802,930,"1,640",476,"35,705",762,"28,388",419,969,746,"3,826",235,0,248
"Under $10,000        ",168,216,29,482,94,496,40,45,70,48,67,0,*         
"$10,000 under $25,000",251,432,131,"4,179",199,"3,228",82,139,186,211,69,0,25
"$25,000 under $50,000",287,517,164,"10,295",271,"9,521",125,111,273,785,56,0,65
"$50,000 under $75,000",115,229,80,"6,965",106,"6,056",81,83,108,659,19,0,71
"$75,000 under $100,000",56,134,45,"4,778",52,"4,151",43,47,56,507,10,0,40
"$100,000 or more     ",53,112,27,"9,006",40,"4,936",48,544,53,"1,616",14,0,47
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91803,"13,680","27,599","8,963","526,422","11,520","424,586","6,394","10,684","10,100","51,546","2,387",*         ,"4,027"
"Under $10,000        ","2,745","3,873",685,"6,844","1,871","11,932",716,657,"1,091",662,689,0,71
"$10,000 under $25,000","3,768","7,318","2,437","64,218","3,157","50,886","1,229","1,657","2,467","2,661",663,*         ,417
"$25,000 under $50,000","3,654","7,490","2,606","131,685","3,306","114,326","1,769","2,539","3,113","8,514",460,0,"1,083"
"$50,000 under $75,000","1,757","4,149","1,525","107,422","1,606","91,973","1,203","1,853","1,686","9,487",254,0,"1,008"
"$75,000 under $100,000",864,"2,268",818,"74,294",790,"61,757",690,"1,343",852,"7,657",145,0,651
"$100,000 or more     ",892,"2,501",892,"141,959",790,"93,712",787,"2,635",891,"22,565",176,0,797
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91901,"6,368","13,937","4,350","549,943","5,192","323,220","3,698","7,965","5,273","78,212","1,319",36,"3,352"
"Under $10,000        ",964,"1,284",211,-912,693,"4,346",269,302,354,179,163,*         ,57
"$10,000 under $25,000","1,043","1,640",395,"18,082",781,"12,671",372,656,784,926,163,*         ,181
"$25,000 under $50,000","1,268","2,479",749,"46,224","1,044","34,665",576,"1,002","1,111","3,297",217,19,474
"$50,000 under $75,000",894,"2,150",684,"55,684",734,"39,784",602,948,849,"4,515",229,*         ,610
"$75,000 under $100,000",713,"1,975",699,"62,073",626,"46,115",573,931,697,"5,304",176,*         ,625
"$100,000 or more     ","1,486","4,409","1,612","368,792","1,314","185,639","1,306","4,126","1,478","63,991",371,17,"1,405"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91902,"8,133","17,306","5,445","622,745","6,271","343,587","4,779","15,555","6,513","96,303","1,642",*         ,"4,003"
"Under $10,000        ","1,357","1,815",290,"-6,502",946,"6,274",422,593,494,310,263,0,86
"$10,000 under $25,000","1,495","2,408",639,"25,648","1,124","18,243",508,669,"1,087","1,265",222,0,268
"$25,000 under $50,000","1,667","3,339","1,121","61,092","1,306","44,428",793,"1,212","1,421","4,257",272,0,611
"$50,000 under $75,000","1,076","2,441",788,"66,879",802,"43,927",783,"1,776","1,008","5,887",203,*         ,716
"$75,000 under $100,000",826,"2,240",786,"72,084",649,"46,643",694,"1,681",802,"6,792",217,*         ,676
"$100,000 or more     ","1,712","5,063","1,821","403,544","1,444","184,072","1,579","9,624","1,701","77,792",465,*         ,"1,646"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91903,"1,081","2,118",555,"76,219",768,"39,817",636,"1,957",897,"11,662",235,*         ,494
"Under $10,000        ",151,206,26,"-1,795",83,687,58,90,54,65,49,0,12
"$10,000 under $25,000",214,298,42,"3,692",127,"2,064",104,244,167,195,38,0,46
"$25,000 under $50,000",246,450,128,"8,882",197,"6,305",113,277,216,647,46,*         ,79
"$50,000 under $75,000",146,320,84,"9,021",115,"5,919",105,265,139,842,37,*         ,104
"$75,000 under $100,000",94,235,67,"8,212",85,"6,208",76,70,92,832,19,0,76
"$100,000 or more     ",230,609,208,"48,207",161,"18,634",180,"1,011",229,"9,081",46,*         ,177
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91905,628,"1,325",410,"25,602",494,"19,132",252,373,493,"2,131",132,*         ,246
"Under $10,000        ",91,147,36,149,60,406,22,11,28,25,26,*         ,*         
"$10,000 under $25,000",162,286,79,"2,867",109,"1,693",43,37,119,135,37,*         ,29
"$25,000 under $50,000",183,373,118,"6,630",152,"4,809",61,136,162,461,30,*         ,68
"$50,000 under $75,000",107,277,92,"6,560",94,"5,189",70,144,99,479,22,*         ,76
"$75,000 under $100,000",44,131,50,"3,825",40,"3,023",28,3,44,342,17,0,35
"$100,000 or more     ",41,111,35,"5,571",39,"4,012",28,42,41,689,*         ,0,38
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91906,"1,265","2,827",969,"57,225","1,052","46,165",554,482,959,"4,927",193,23,489
"Under $10,000        ",172,255,55,-59,124,720,47,27,45,19,25,10,*         
"$10,000 under $25,000",282,519,162,"5,051",194,"3,425",74,69,187,188,43,*         ,39
"$25,000 under $50,000",359,785,283,"13,373",319,"11,230",134,162,289,820,53,*         ,126
"$50,000 under $75,000",229,645,255,"13,966",206,"11,411",148,97,215,978,41,13,142
"$75,000 under $100,000",144,407,149,"12,248",138,"10,961",87,32,144,"1,064",17,*         ,111
"$100,000 or more     ",79,216,65,"12,646",71,"8,418",64,95,79,"1,858",14,*         ,71
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91908,431,834,246,"27,223",305,"15,671",261,506,362,"3,431",103,0,197
"Under $10,000        ",68,82,10,-327,30,168,33,35,34,24,26,0,12
"$10,000 under $25,000",69,114,32,"1,236",47,768,24,21,52,81,22,0,*         
"$25,000 under $50,000",101,175,48,"3,750",76,"2,623",60,110,90,286,27,0,35
"$50,000 under $75,000",76,170,62,"4,719",61,"3,407",49,98,72,389,*         ,0,46
"$75,000 under $100,000",38,103,41,"3,289",32,"2,209",30,84,36,284,10,0,31
"$100,000 or more     ",79,190,53,"14,556",59,"6,496",65,158,78,"2,367",18,0,73
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91909,424,941,362,"16,396",325,"10,959",128,108,308,"1,684",80,0,109
"Under $10,000        ",77,130,33,332,41,404,15,9,30,23,22,0,*         
"$10,000 under $25,000",116,249,103,"2,033",89,"1,529",19,20,69,79,22,0,*         
"$25,000 under $50,000",130,311,133,"4,691",114,"3,995",34,12,111,307,24,0,40
"$50,000 under $75,000",46,117,42,"2,727",35,"1,624",29,31,45,227,*         ,0,26
"$75,000 under $100,000",28,72,29,"2,396",22,"1,647",16,14,27,305,12,0,19
"$100,000 or more     ",27,62,22,"4,217",24,"1,760",15,22,26,743,*         ,0,24
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91910,"31,541","69,192","25,444","1,384,472","26,566","1,055,258","12,903","24,994","23,206","130,615","4,271",20,"10,241"
"Under $10,000        ","4,922","7,113","1,626","11,096","3,672","22,195","1,008",960,"1,595",887,854,10,200
"$10,000 under $25,000","8,557","16,304","6,009","149,305","7,065","119,646","1,839","2,475","5,615","5,811","1,009",*         ,794
"$25,000 under $50,000","8,786","19,914","7,939","315,175","7,697","263,468","3,119","4,225","7,094","18,683",944,*         ,"2,375"
"$50,000 under $75,000","4,291","11,176","4,317","262,932","3,729","208,927","2,720","3,761","3,990","20,576",591,*         ,"2,540"
"$75,000 under $100,000","2,303","6,712","2,592","198,930","2,054","158,067","1,821","2,755","2,243","17,575",361,10,"1,839"
"$100,000 or more     ","2,682","7,973","2,961","447,034","2,349","282,955","2,396","10,818","2,669","67,083",512,*         ,"2,493"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91911,"33,204","77,875","31,591","1,173,640","28,812","966,645","10,879","11,189","22,678","83,134","4,005",*         ,"8,672"
"Under $10,000        ","5,694","8,650","2,335","22,117","4,430","24,904",873,499,"1,858",876,951,*         ,153
"$10,000 under $25,000","10,168","20,786","8,269","176,162","8,641","144,315","1,888","1,891","6,256","6,173","1,118",0,853
"$25,000 under $50,000","9,792","25,290","11,204","349,445","8,856","301,282","3,085","2,626","7,437","17,984",965,*         ,"2,513"
"$50,000 under $75,000","4,243","12,762","5,573","258,024","3,828","214,965","2,434","2,212","3,868","17,552",519,*         ,"2,382"
"$75,000 under $100,000","1,913","6,027","2,490","164,608","1,770","137,303","1,413","1,423","1,871","13,381",256,0,"1,501"
"$100,000 or more     ","1,394","4,360","1,720","203,284","1,287","143,876","1,186","2,538","1,388","27,168",196,*         ,"1,270"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91912,"1,775","3,828","1,430","63,960","1,363","46,116",632,"1,046","1,300","5,448",277,0,399
"Under $10,000        ",304,461,111,"1,207",169,"1,145",79,97,96,58,65,0,11
"$10,000 under $25,000",513,989,339,"8,778",373,"6,153",135,177,361,347,82,0,52
"$25,000 under $50,000",570,"1,379",594,"20,344",497,"16,994",187,228,474,"1,218",70,0,115
"$50,000 under $75,000",233,602,244,"14,155",198,"10,889",122,271,221,"1,214",34,0,113
"$75,000 under $100,000",85,216,79,"7,176",76,"5,466",50,102,82,779,11,0,50
"$100,000 or more     ",70,181,63,"12,300",50,"5,469",59,171,66,"1,832",15,0,58
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91913,"14,064","35,250","14,063","802,879","12,691","685,972","7,307","6,648","10,656","68,303","2,303",*         ,"7,351"
"Under $10,000        ","1,878","2,558",489,"4,275","1,498","9,154",365,253,664,300,285,0,96
"$10,000 under $25,000","2,547","4,704","1,610","44,168","2,173","37,343",621,504,"1,676","1,866",380,0,356
"$25,000 under $50,000","3,219","7,575","3,020","117,165","2,896","101,983","1,307","1,045","2,412","6,257",462,0,"1,320"
"$50,000 under $75,000","2,349","6,780","2,902","145,452","2,205","128,399","1,560","1,157","1,977","8,599",408,*         ,"1,756"
"$75,000 under $100,000","1,831","5,941","2,633","159,419","1,756","141,239","1,458",972,"1,712","10,665",317,0,"1,640"
"$100,000 or more     ","2,240","7,692","3,409","332,400","2,163","267,854","1,996","2,717","2,215","40,616",451,0,"2,183"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91914,"5,088","13,488","5,498","374,700","4,556","311,467","3,169","3,397","4,057","37,521","1,004",*         ,"3,182"
"Under $10,000        ",677,935,174,"1,687",521,"3,376",152,102,262,183,108,0,30
"$10,000 under $25,000",674,"1,155",341,"11,605",548,"9,582",209,164,478,601,103,0,106
"$25,000 under $50,000",932,"2,219",897,"34,863",825,"30,345",459,352,716,"1,987",190,0,458
"$50,000 under $75,000",771,"2,218",947,"48,255",715,"42,795",560,453,640,"2,807",171,0,632
"$75,000 under $100,000",722,"2,431","1,120","62,903",694,"56,291",609,465,666,"3,893",137,0,677
"$100,000 or more     ","1,312","4,530","2,019","215,387","1,253","169,078","1,180","1,861","1,295","28,050",295,*         ,"1,279"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91915,"7,948","20,427","8,215","493,923","7,264","430,108","4,497","3,639","6,173","41,998","1,420",0,"4,746"
"Under $10,000        ",959,"1,302",237,"1,712",761,"4,890",224,102,373,182,173,0,50
"$10,000 under $25,000","1,251","2,298",802,"21,523","1,082","18,809",299,207,825,955,205,0,221
"$25,000 under $50,000","1,655","4,022","1,693","61,406","1,515","54,684",724,341,"1,219","3,190",291,0,792
"$50,000 under $75,000","1,421","4,063","1,719","88,750","1,336","80,072",996,533,"1,193","4,908",248,0,"1,166"
"$75,000 under $100,000","1,168","3,796","1,659","101,094","1,135","92,080",930,539,"1,089","6,449",194,0,"1,065"
"$100,000 or more     ","1,494","4,946","2,105","219,438","1,435","179,573","1,324","1,917","1,474","26,314",309,0,"1,452"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91916,839,"1,726",451,"51,143",681,"35,091",500,794,676,"6,480",189,12,415
"Under $10,000        ",124,162,21,468,80,474,42,18,40,24,30,0,*         
"$10,000 under $25,000",161,288,83,"2,696",123,"1,858",70,101,115,132,36,*         ,44
"$25,000 under $50,000",195,371,89,"7,222",160,"5,210",96,119,172,533,38,12,78
"$50,000 under $75,000",135,327,99,"8,251",124,"6,616",96,89,128,703,30,*         ,89
"$75,000 under $100,000",100,270,86,"8,587",87,"6,664",86,73,98,817,27,*         ,86
"$100,000 or more     ",124,308,73,"23,919",107,"14,269",110,394,123,"4,271",28,0,118
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91917,405,"1,062",441,"16,250",345,"12,038",126,131,266,"1,250",55,*         ,110
"Under $10,000        ",63,105,32,381,48,239,10,2,27,20,13,0,0
"$10,000 under $25,000",131,289,109,"2,282",105,"1,687",29,29,76,83,22,0,15
"$25,000 under $50,000",113,389,204,"4,072",105,"3,729",29,31,66,135,20,0,21
"$50,000 under $75,000",42,131,54,"2,515",36,"2,100",17,15,41,155,*         ,0,22
"$75,000 under $100,000",31,83,25,"2,713",30,"2,199",20,14,31,259,*         ,0,27
"$100,000 or more     ",25,65,17,"4,287",21,"2,084",21,40,25,598,*         ,*         ,25
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91921,291,648,235,"18,729",252,"14,591",141,103,231,"2,361",54,0,157
"Under $10,000        ",40,61,15,81,26,144,19,5,14,9,14,0,10
"$10,000 under $25,000",41,72,22,755,34,646,*         ,*              ,27,30,*         ,0,*         
"$25,000 under $50,000",81,175,69,"3,017",72,"2,580",28,8,67,184,14,0,40
"$50,000 under $75,000",48,122,51,"2,977",46,"2,675",32,17,44,219,11,0,36
"$75,000 under $100,000",30,76,28,"2,546",28,"2,188",17,15,28,216,*         ,0,25
"$100,000 or more     ",51,142,50,"9,353",46,"6,358",45,58,51,"1,703",15,0,46
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91931,195,419,144,"6,942",160,"5,587",62,23,144,523,26,0,51
"Under $10,000        ",35,52,13,153,27,148,*         ,*              ,11,3,*         ,0,0
"$10,000 under $25,000",57,112,40,983,40,694,14,4,37,37,*         ,0,*         
"$25,000 under $50,000",57,121,42,"2,037",50,"1,633",22,3,50,139,26,0,22
"$50,000 under $75,000",23,68,25,"1,421",23,"1,317",12,3,23,113,*         ,0,10
"$75,000 under $100,000",23,66,24,"2,348",20,"1,795",14,13,23,231,*         ,0,19
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,0,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91932,"10,535","22,066","8,075","365,917","9,291","301,016","3,048","4,129","7,448","30,349","1,137",*         ,"2,081"
"Under $10,000        ","1,718","2,566",684,"6,094","1,377","7,548",244,219,517,273,269,0,40
"$10,000 under $25,000","3,408","6,449","2,383","59,652","3,003","50,931",568,535,"2,198","2,260",306,0,234
"$25,000 under $50,000","3,256","7,336","2,922","114,455","2,968","100,567",914,932,"2,636","6,840",265,0,575
"$50,000 under $75,000","1,238","3,245","1,254","75,042","1,120","62,607",634,583,"1,187","6,256",151,0,533
"$75,000 under $100,000",515,"1,418",503,"44,033",473,"36,602",351,435,511,"4,344",63,0,341
"$100,000 or more     ",400,"1,052",329,"66,641",350,"42,761",337,"1,425",399,"10,376",83,*         ,358
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91933,456,882,302,"15,758",372,"12,803",156,103,334,"1,343",52,0,103
"Under $10,000        ",71,99,22,5,48,450,17,9,20,9,15,0,*         
"$10,000 under $25,000",130,240,87,"2,241",97,"1,649",35,33,91,86,17,0,15
"$25,000 under $50,000",156,327,127,"5,625",141,"4,827",46,27,126,376,20,0,37
"$50,000 under $75,000",57,120,34,"3,482",50,"2,781",31,8,56,306,*         ,0,23
"$75,000 under $100,000",24,50,16,"2,081",22,"1,825",16,17,23,258,*         ,0,15
"$100,000 or more     ",18,46,16,"2,324",14,"1,271",11,9,18,308,*         ,0,13
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91934,258,563,201,"7,848",201,"6,108",85,32,172,523,31,0,70
"Under $10,000        ",55,81,13,135,32,178,11,7,17,7,18,0,*         
"$10,000 under $25,000",79,171,70,"1,401",62,"1,030",17,8,46,43,*         ,0,*         
"$25,000 under $50,000",70,169,65,"2,476",59,"1,838",29,9,57,138,13,0,32
"$50,000 under $75,000",41,114,46,"2,543",36,"2,017",28,8,39,197,*         ,0,27
"$75,000 under $100,000",13,28,7,"1,293",12,"1,045",*         ,*              ,13,138,0,0,11
